Variable,Tab,Category,Data Type,Description
ticker,Overview,Identifier,string,Stock ticker symbol
current_price,Overview,Market Price,float,Current stock price
regularMarketPrice,Overview,Market Price,float,Regular market price
open_price,Overview,Market Price,float,Opening price
high_price,Overview,Market Price,float,Daily high price
low_price,Overview,Market Price,float,Daily low price
close_price,Overview,Market Price,float,Closing price
volume,Overview,Market Price,int,Trading volume
market_cap,Overview,Market Size,float,Market capitalization
enterprise_value,Overview,Market Size,float,Enterprise value
shares_outstanding,Overview,Market Size,float,Shares outstanding
float_shares,Overview,Market Size,float,Float shares
daily_return_pct,Overview,Performance,float,Daily return percentage
change_15d_pct,Overview,Performance,float,15-day change percentage
change_52w_pct,Overview,Performance,float,52-week change percentage
performance_1y_pct,Overview,Performance,float,1-year performance percentage
high_52w,Overview,Performance,float,52-week high
low_52w,Overview,Performance,float,52-week low
exchange,Overview,Market Context,string,Stock exchange
country,Overview,Market Context,string,Company country
sp500_index,Overview,Market Context,float,S&P 500 index value
interest_rate,Overview,Market Context,float,Interest rate
target_price_mean,Forecast,Analyst Targets,float,Mean analyst target price
target_price_median,Forecast,Analyst Targets,float,Median analyst target price
target_price_high,Forecast,Analyst Targets,float,Highest analyst target price
target_price_low,Forecast,Analyst Targets,float,Lowest analyst target price
analyst_rating,Forecast,Analyst Targets,string,Analyst recommendation
analyst_count,Forecast,Analyst Targets,int,Number of analysts
next_earnings_date,Forecast,Earnings Timing,date,Next earnings report date
earningsTimestamp,Forecast,Earnings Timing,int,Earnings timestamp
earnings_call_time,Forecast,Earnings Timing,datetime,Earnings call time
earningsCallTimestampStart,Forecast,Earnings Timing,int,Earnings call start timestamp
forecast_price_1y,Forecast,Price Forecast,float,1-year forecast price
forecast_avg_price,Forecast,Price Forecast,float,Average forecast price
forecast_range_width,Forecast,Price Forecast,float,Forecast range width
forecast_period,Forecast,Price Forecast,string,Forecast period
sma_7,Technicals,Trend,float,7-day simple moving average
sma_20,Technicals,Trend,float,20-day simple moving average
sma_50,Technicals,Trend,float,50-day simple moving average
sma_100,Technicals,Trend,float,100-day simple moving average
sma_200,Technicals,Trend,float,200-day simple moving average
ema_12,Technicals,Trend,float,12-day exponential moving average
ema_26,Technicals,Trend,float,26-day exponential moving average
adx,Technicals,Trend,float,Average Directional Index
parabolic_sar,Technicals,Trend,float,Parabolic SAR
rsi_14,Technicals,Momentum,float,14-day RSI
macd_line,Technicals,Momentum,float,MACD line
macd_signal,Technicals,Momentum,float,MACD signal line
macd_hist,Technicals,Momentum,float,MACD histogram
stochastic_osc,Technicals,Momentum,float,Stochastic oscillator
williams_r,Technicals,Momentum,float,Williams %R
bb_upper,Technicals,Volatility,float,Bollinger band upper
bb_middle,Technicals,Volatility,float,Bollinger band middle
bb_lower,Technicals,Volatility,float,Bollinger band lower
atr_14,Technicals,Volatility,float,14-day ATR
volatility_7d,Technicals,Volatility,float,7-day volatility
volatility_30d_annual,Technicals,Volatility,float,30-day annualized volatility
keltner_upper,Technicals,Volatility,float,Keltner channel upper
keltner_lower,Technicals,Volatility,float,Keltner channel lower
